province,city,Year,cents,population,vehicles
New Brunswick,Saint John,2021,134.02666666666667,130613,65306
Québec,Québec,2021,140.36333333333332,839311,419656
Québec,Montréal,2021,140.64833333333334,4291732,2145866
Ontario,Ottawa,2021,134.26500000000001,1488307,744154
Ontario,Toronto,2021,135.38916666666668,6202225,3101112
Ontario,Thunder Bay,2021,144.59916666666666,123258,61629
Manitoba,Winnipeg,2021,129.4625,834678,417339
Saskatchewan,Regina,2021,130.9175,249217,124608
Saskatchewan,Saskatoon,2021,130.25166666666667,317480,158740
Alberta,Edmonton,2021,127.8925,1418118,709059
Alberta,Calgary,2021,131.795,1481806,740903
British Columbia,Vancouver,2021,159.8525,2642825,1321412
British Columbia,Victoria,2021,156.81416666666667,397237,198618
Yukon,Whitehorse,2021,148.82916666666668,31913,15956
Northwest Territories,Yellowknife,2021,145.47083333333333,20340,10170
Newfoundland and Labrador,St. John's,2022,159.2,212579,106290
Prince Edward Island,Charlottetown,2022,143.5,78858,39429
Nova Scotia,Halifax,2022,141.4,465703,232852
New Brunswick,Saint John,2022,142.2,130613,65306
Québec,Québec,2022,152.7,839311,419656
Québec,Montréal,2022,155.5,4291732,2145866
Ontario,Ottawa,2022,144.3,1488307,744154
Ontario,Toronto,2022,146.1,6202225,3101112
Ontario,Thunder Bay,2022,149.9,123258,61629
Manitoba,Winnipeg,2022,138.5,834678,417339
Saskatchewan,Regina,2022,137.0,249217,124608
Saskatchewan,Saskatoon,2022,135.7,317480,158740
Alberta,Edmonton,2022,133.7,1418118,709059
Alberta,Calgary,2022,138.9,1481806,740903
British Columbia,Vancouver,2022,170.5,2642825,1321412
British Columbia,Victoria,2022,164.6,397237,198618
Yukon,Whitehorse,2022,157.2,31913,15956
Northwest Territories,Yellowknife,2022,151.5,20340,10170
